体育频道,#genre#
CCTV5,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV16,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
超级体育,http://39.135.7.4:6610/000000001000/1000000004000007755/index.m3u8?channel-id=ystenlive&Contentid=1000000004000007755&livemode=1&stbId=3
精品体育,http://39.135.7.4:6610/000000001000/1000000004000014634/index.m3u8?channel-id=ystenlive&Contentid=1000000004000014634&livemode=1&stbId=3
劲爆体育,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000

收藏频道,#genre#
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
爱上4K,https://live.v1.mk/aishang/as4k
Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
爱自然4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
凤凰卫视,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
翡翠台,http://159.75.85.63:8765/telegram@feiyangdigital-feicui.m3u8
明珠台,http://159.75.85.63:8765/telegram@feiyangdigital-mingzhu.m3u8

爱尚线路,#genre#
爱上4K,https://live.v1.mk/aishang/as4k
CHC动作电影,https://live.v1.mk/aishang/chcdzdy
CHC高清电影,https://live.v1.mk/aishang/chcgqdy
CHC家庭影院,https://live.v1.mk/aishang/chcjtyy
CCTV-1综合,https://live.v1.mk/aishang/cctv1hd
CCTV-2财经,https://live.v1.mk/aishang/cctv2hd
CCTV-3综艺,https://live.v1.mk/aishang/cctv3hd
CCTV-4中文国际,https://live.v1.mk/aishang/cctv4hd
CCTV-5体育,https://live.v1.mk/aishang/cctv5hd
CCTV-5+体育赛事,https://live.v1.mk/aishang/cctv5p
